seq_id	feature_id	relative_start	relative_end	tss_start	absolute_start	absolute_end	ref_seq	genomic_start	genomic_end
AT1G01010.1_Chr1_674_0	M0007_1.02_FWD_1_tile100	-500	-400	3001	2501	2601	Chr1	3175	3275
AT1G01010.1_Chr1_674_0	M0007_1.02_FWD_2_tile100	-400	-300	3001	2601	2701	Chr1	3275	3375
AT1G01010.1_Chr1_674_0	M0007_1.02_FWD_3_tile100	-300	-200	3001	2701	2801	Chr1	3375	3475
AT1G01010.1_Chr1_674_0	M0007_1.02_FWD_4_tile100	-200	-100	3001	2801	2901	Chr1	3475	3575
AT1G01010.1_Chr1_674_0	M0007_1.02_FWD_5_tile100	-100	0	3001	2901	3001	Chr1	3575	3675
AT1G01010.1_Chr1_674_0	M0007_1.02_FWD_6_tile100	0	100	3001	3001	3101	Chr1	3675	3775
AT1G01010.1_Chr1_674_0	M0015_1.02_FWD_1_tile100	-500	-400	3001	2501	2601	Chr1	3175	3275
AT1G01010.1_Chr1_674_0	M0015_1.02_FWD_2_tile100	-400	-300	3001	2601	2701	Chr1	3275	3375
AT1G01010.1_Chr1_674_0	M0015_1.02_FWD_3_tile100	-300	-200	3001	2701	2801	Chr1	3375	3475
AT1G01010.1_Chr1_674_0	M0015_1.02_FWD_4_tile100	-200	-100	3001	2801	2901	Chr1	3475	3575
AT1G01010.1_Chr1_674_0	M0015_1.02_FWD_5_tile100	-100	0	3001	2901	3001	Chr1	3575	3675
AT1G01010.1_Chr1_674_0	M0015_1.02_FWD_6_tile100	0	100	3001	3001	3101	Chr1	3675	3775
AT1G01010.1_Chr1_674_0	M0007_1.02_REV_1_tile100	-500	-400	3001	2501	2601	Chr1	3175	3275
AT1G01010.1_Chr1_674_0	M0007_1.02_REV_2_tile100	-400	-300	3001	2601	2701	Chr1	3275	3375
AT1G01010.1_Chr1_674_0	M0007_1.02_REV_3_tile100	-300	-200	3001	2701	2801	Chr1	3375	3475
AT1G01010.1_Chr1_674_0	M0007_1.02_REV_4_tile100	-200	-100	3001	2801	2901	Chr1	3475	3575
AT1G01010.1_Chr1_674_0	M0007_1.02_REV_5_tile100	-100	0	3001	2901	3001	Chr1	3575	3675
AT1G01010.1_Chr1_674_0	M0007_1.02_REV_6_tile100	0	100	3001	3001	3101	Chr1	3675	3775
AT1G01010.1_Chr1_674_0	M0015_1.02_REV_1_tile100	-500	-400	3001	2501	2601	Chr1	3175	3275
AT1G01010.1_Chr1_674_0	M0015_1.02_REV_2_tile100	-400	-300	3001	2601	2701	Chr1	3275	3375
AT1G01010.1_Chr1_674_0	M0015_1.02_REV_3_tile100	-300	-200	3001	2701	2801	Chr1	3375	3475
AT1G01010.1_Chr1_674_0	M0015_1.02_REV_4_tile100	-200	-100	3001	2801	2901	Chr1	3475	3575
AT1G01010.1_Chr1_674_0	M0015_1.02_REV_5_tile100	-100	0	3001	2901	3001	Chr1	3575	3675
AT1G01010.1_Chr1_674_0	M0015_1.02_REV_6_tile100	0	100	3001	3001	3101	Chr1	3675	3775
AT1G01020.1_Chr1_5673_0	M0007_1.02_FWD_1_tile100	-500	-400	3001	2501	2601	Chr1	8174	8274
AT1G01020.1_Chr1_5673_0	M0007_1.02_FWD_2_tile100	-400	-300	3001	2601	2701	Chr1	8274	8374
AT1G01020.1_Chr1_5673_0	M0007_1.02_FWD_3_tile100	-300	-200	3001	2701	2801	Chr1	8374	8474
AT1G01020.1_Chr1_5673_0	M0007_1.02_FWD_4_tile100	-200	-100	3001	2801	2901	Chr1	8474	8574
AT1G01020.1_Chr1_5673_0	M0007_1.02_FWD_5_tile100	-100	0	3001	2901	3001	Chr1	8574	8674
AT1G01020.1_Chr1_5673_0	M0007_1.02_FWD_6_tile100	0	100	3001	3001	3101	Chr1	8674	8774
AT1G01020.1_Chr1_5673_0	M0015_1.02_FWD_1_tile100	-500	-400	3001	2501	2601	Chr1	8174	8274
AT1G01020.1_Chr1_5673_0	M0015_1.02_FWD_2_tile100	-400	-300	3001	2601	2701	Chr1	8274	8374
AT1G01020.1_Chr1_5673_0	M0015_1.02_FWD_3_tile100	-300	-200	3001	2701	2801	Chr1	8374	8474
AT1G01020.1_Chr1_5673_0	M0015_1.02_FWD_4_tile100	-200	-100	3001	2801	2901	Chr1	8474	8574
AT1G01020.1_Chr1_5673_0	M0015_1.02_FWD_5_tile100	-100	0	3001	2901	3001	Chr1	8574	8674
AT1G01020.1_Chr1_5673_0	M0015_1.02_FWD_6_tile100	0	100	3001	3001	3101	Chr1	8674	8774
AT1G01020.1_Chr1_5673_0	M0007_1.02_REV_1_tile100	-500	-400	3001	2501	2601	Chr1	8174	8274
AT1G01020.1_Chr1_5673_0	M0007_1.02_REV_2_tile100	-400	-300	3001	2601	2701	Chr1	8274	8374
AT1G01020.1_Chr1_5673_0	M0007_1.02_REV_3_tile100	-300	-200	3001	2701	2801	Chr1	8374	8474
AT1G01020.1_Chr1_5673_0	M0007_1.02_REV_4_tile100	-200	-100	3001	2801	2901	Chr1	8474	8574
AT1G01020.1_Chr1_5673_0	M0007_1.02_REV_5_tile100	-100	0	3001	2901	3001	Chr1	8574	8674
AT1G01020.1_Chr1_5673_0	M0007_1.02_REV_6_tile100	0	100	3001	3001	3101	Chr1	8674	8774
AT1G01020.1_Chr1_5673_0	M0015_1.02_REV_1_tile100	-500	-400	3001	2501	2601	Chr1	8174	8274
AT1G01020.1_Chr1_5673_0	M0015_1.02_REV_2_tile100	-400	-300	3001	2601	2701	Chr1	8274	8374
AT1G01020.1_Chr1_5673_0	M0015_1.02_REV_3_tile100	-300	-200	3001	2701	2801	Chr1	8374	8474
AT1G01020.1_Chr1_5673_0	M0015_1.02_REV_4_tile100	-200	-100	3001	2801	2901	Chr1	8474	8574
AT1G01020.1_Chr1_5673_0	M0015_1.02_REV_5_tile100	-100	0	3001	2901	3001	Chr1	8574	8674
AT1G01020.1_Chr1_5673_0	M0015_1.02_REV_6_tile100	0	100	3001	3001	3101	Chr1	8674	8774
